date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:41	27712/27712	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:18%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/3a?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/3aa412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:47	42169/42169	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:21%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&cp=Springboro%2Fed3&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext1724.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:49	8269/8269	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:25%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/ed3?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/ed3a412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:52	176902/176902	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:20%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/d85?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/d85a412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:52	44361/44361	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:27%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&cp=Springboro%2F1289&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextae4b.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:53	60324/60324	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:27%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/1289?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/1289a412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:55	40497/40497	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:31%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&cp=Springboro%2F1505&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext8114.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:56	22464/22464	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:32%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/1505?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/1505a412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:58	40558/40558	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:35%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&cp=Springboro%2F1b19&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpextdabb.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
11:18:59	16457/16457	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202013%2015:23:35%20GMT	http://www.conwaygreene.com/Springboro/lpext.dll/Springboro/1b19?fn=document-frame.htm&f=templates&2.0	C:/Users/RitterCX/Downloads/Open%20Springboro/Codified%20Ordinances/Codified%20Ordinances/www.conwaygreene.com/Springboro/lpext.dll/Springboro/1b19a412.html	(from http://www.conwaygreene.com/Springboro/lpext.dll?f=templates&fn=tools-contents.htm&2.0&GLOBAL=G_&G_DOCUMENT_TEMPLATE=document-frame.htm&G_HIT_TEMPLATE=hitlist-frame.htm&G_MAIN_FRAMESET=main-h.htm&G_MAIN_HIT_FRAMESET=main-hit-h.htm&G_HITLIST_TEMPLATE=hitlist.htm&G_TARGET_FRAME=doc&G_JAVATOC=false)
